Fatty Acid Metabolism;Adipogenesis
;
ACOT8;ECH1
AOC3;CIDEA
H2AZ1;PEX14
ECH1;LEP
ACSL1;UQCRC1
SDHD;SPARCL1
ACSL5;PREB
ACSL4;SUCLG1
CIDEA;ITIH5
SDHC;RETSAT
SDHA;UQCR10
GSTZ1;RETN
GPD1;GHITM
GPD2;ARAF
XIST;UQCR11
GAPDHS;TOB1
CYP1A1;SLC5A6
ACOT2;ADCY6
SUCLG2;SNCG
ERP29;STOM
SUCLG1;COX8A
CRAT;FZD4
RETSAT;ABCA1
HPGD;OMD
ADH1C;GADD45A
ODC1;TALDO1
AQP7;RMDN3
DLST;CMBL
PDHB;POR
HSD17B4;UCK1
CPOX;SSPN
HSD17B7;CD302
UBE2L6;PEMT
NTHL1;NMT1
TP53INP2;ITSN1
NBN;BAZ2A
KMT5A;MGST3
S100A10;MRPL15
ACSS1;MYLK
IDH1;C3
GABARAPL1;SULT1A1
EPHX1;PRDX3
NCAPH2;LIPE
UROS;GRPEL1
CEL;SCP2
MIF;APOE
ALDH3A2;SLC19A1
VNN1;DECR1
REEP6;STAT5A
FASN;CS
ALDH3A1;VEGFB
OSTC;CCNG2
SMS;MRAP
PSME1;MGLL
GCDH;ALDOA
BLVRA;COX7B
SLC22A5;MTARC2
ACSM3;ADIPOR2
ECI1;ECHS1
ECI2;NKIRAS1
ENO2;CD36
ENO3;ADIG
CD1D;ADIPOQ
ADH7;MAP4K3
HSPH1;CDKN2C
IL4I1;MDH2
PRDX6;IFNGR1
LGALS1;ELOVL6
TDO2;DGAT1
UROD;MCCC1
GLUL;ELMOD3
ACAA2;SQOR
HADH;SORBS1
ACAA1;DHRS7
DECR1;FABP4
BCKDHB;COL4A1
HSP90AA1;ESYT1
HMGCS2;GPAM
PDHA1;NDUFAB1
HMGCS1;LPCAT3
CYP4A11;ANGPTL4
INMT;PPARG
DHCR24;ATP5PO
GRHPR;DLD
UGDH;PLIN2
ACOX1;TKT
ACO2;CMPK1
SERINC1;ORM1
METAP1;SLC66A3
MGLL;PTGER3
ALDOA;ATL2
BMPR1B;GBE1
IDI1;SAMM50
RAP1GDS1;ACADM
MAOA;ACADL
ETFDH;AIFM1
EHHADH;ENPP2
ADIPOR2;DLAT
ECHS1;RIOK3
PTPRG;GPAT4
ACAT2;ACADS
CA2;PHYH
ALAD;PTCD3
LDHA;CAVIN1
AUH;CAVIN2
CA4;APLP2
CPT2;LIFR
RDH11;ATP1B3
CA6;SDHB
ME1;FAH
RDH16;SDHC
HAO2;RAB34
D2HGDH;UQCRQ
CD36;GPD2
HIBCH;PDCD4
YWHAH;DHCR7
CBR3;CRAT
CBR1;PPP1R15B
CPT1A;SLC27A1
HSDL2;PHLDB1
PPARA;UCP2
MDH2;SLC1A5
AADAT;TANK
ELOVL5;COX6A1
IDH3G;BCL2L13
ADSL;IDH1
CCDC58;ESRRA
G0S2;NABP1
GAD2;EPHX2
FMO1;CHCHD10
FABP2;DNAJC15
HADHB;ACLY
SUCLA2;QDPR
ALDH1A1;REEP6
APEX1;REEP5
DLD;PFKFB3
ALDH9A1;CD151
FABP1;LPL
FH;AK2
ACADVL;UBC
CYP4A22;G3BP2
HCCS;PIM3
HSD17B11;CYC1
HSD17B10;ACAA2
BPHL;HADH
PTS;BCKDHA
LTC4S;GPX3
CRYZ;JAGN1
HMGCL;GPX4
MCEE;ANGPT1
NSDHL;COQ9
ACADM;COQ5
ACADL;COQ3
MLYCD;BCL6
MDH1;ACOX1
PCBD1;NDUFS3
ACADS;ITGA7
IDH3B;ACO2
;ARL4A
;RTN3
;YWHAG
;SLC25A1
;NDUFB7
;ABCB8
;HSPB8
;DHRS7B
;AGPAT3
;DRAM2
;DBT
;CPT2
;ME1
;DNAJB9
;RREB1
;HIBCH
;IDH3G
;MIGA2
;NDUFA5
;CHUK
;CYP4B1
;IMMT
;SOD1
;PPM1B
;PFKL
;CAT
;TST
;SLC25A10
;MTCH2
;RNF11
;SOWAHC
;COL15A1
;LAMA4
;ETFB
;GPHN
;LTC4S
;DDT
;ALDH2
;UBQLN1
;SCARB1
;IDH3A
;PGM1
