Oxidative Phosphorylation;mitochondrial ATP synthesis coupled electron transport (GO:0042775);aerobic electron transport chain (GO:0019646);mitochondrial electron transport, cytochrome c to oxygen (GO:0006123);mitochondrial ATP synthesis coupled electron transport (GO:0042775);ATP synthesis coupled electron transport (GO:0042773);mitochondrial electron transport, NADH to ubiquinone (GO:0006120);cristae formation (GO:0042407);inner mitochondrial membrane organization (GO:0007007);Respiratory electron transport Homo sapiens R-HSA-611105;Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200;The citric acid (TCA) cycle and respiratory electron transport Homo sapiens R-HSA-1428517
;;;;;;;;;;;
ATP6V1E1;UQCC3;UQCC3;COX8A;UQCC3;NDUFA12;NDUFA9;DMAC2L;HSPA9;ACAD9;SDHD;SLC16A1
PDHX;NDUFC2;NDUFC2;COX5A;NDUFC2;NDUFB6;NDUFA8;ATP5PF;AGK;NDUFC2;SDHB;PDHX
ECH1;SDHD;SDHD;COX7C;SDHD;NDUFS2;NDUFA7;ATP5PD;TIMM29;SDHD;SDHC;ADHFE1
AFG3L2;NDUFC1;NDUFC1;COX7B;NDUFC1;NDUFV3;NDUFA6;APOOL;UQCC3;NDUFC1;SDHA;SDHD
FDX1;SDHC;SDHC;COX4I2;SDHC;NDUFV1;NDUFA5;UQCC3;TIMM22;SDHB;SCO2;SDHB
UQCRC2;COX6C;COX6C;NDUFA4;COX6C;COA6;NDUFA4;ATP5PB;ATP5F1D;SDHC;UQCRQ;SDHC
BAX;SDHA;SDHA;AFG1L;SDHA;;NDUFA3;IMMT;ATP5F1E;COX6C;SCO1;SDHA
UQCRC1;NDUFS8;NDUFS8;COX6A2;NDUFS8;;NDUFA2;ATP5F1D;AFG3L2;SDHA;UQCRC2;SCO2
SUCLG1;NDUFS7;NDUFS7;COX5B;NDUFS7;;NDUFA1;ATP5F1E;LETM1;LRPPRC;TMEM126B;UQCRQ
RETSAT;UQCRQ;UQCRQ;COX6C;UQCRQ;;NDUFC2;AFG3L2;ATP5ME;ECSIT;UQCRC1;SCO1
UQCR10;NDUFS6;NDUFS6;COX7A2L;NDUFS6;;NDUFC1;LETM1;TIMM13;SCO2;COX20;UQCRC2
PDHB;NDUFS5;NDUFS5;COX6B1;NDUFS5;;NDUFS8;DNAJC11;SPG7;NDUFS8;NDUFB11;TMEM126B
UQCR11;UQCRC2;UQCRC2;COX6A1;UQCRC2;;NDUFS7;ATP5PO;GHITM;NDUFS7;NDUFB10;UQCRC1
COX8A;NDUFS4;NDUFS4;COX4I1;NDUFS4;;NDUFAB1;ATP5ME;TIMM10;UQCRQ;UCP2;SUCLG2
SURF1;NDUFS3;NDUFS3;COX15;NDUFS3;;NDUFS6;ATP5MC3;MAIP1;NDUFS6;UQCR10;SUCLG1
ATP6AP1;UQCRC1;UQCRC1;CYCS;UQCRC1;;NDUFS5;SPG7;ROMO1;NDUFS5;ATP5A1;COX20
TOMM70;NDUFS2;NDUFS2;COX10;NDUFS2;;NDUFS4;MICOS13;ATP5MG;SCO1;UCP1;NDUFB11
ACADSB;CYCS;CYCS;;CYCS;;NDUFS3;ATP5MC1;ATP5MF;UQCRC2;UQCR11;NDUFB10
COX7A2L;NDUFS1;NDUFS1;;NDUFS1;;NDUFS2;ATP5MC2;TIMM8B;TMEM126B;COX6A1;UCP2
SUPV3L1;COX7C;COX7C;;COX7C;;NDUFAF1;APOO;DMAC2L;NDUFS4;ATP5J2;UQCR10
POR;NDUFB9;NDUFB9;;NDUFB9;;NDUFS1;CHCHD6;TIMM8A;NDUFS3;UCP3;DLST
OGDH;COX7B;COX7B;;COX7B;;NDUFB9;ATP5F1A;ATP5PF;UQCRC1;NDUFV3;PDHB
PHB2;NDUFB8;NDUFB8;;NDUFB8;;NDUFB8;CHCHD3;MTX2;NDUFS2;NDUFV2;ATP5A1
MTRR;NDUFB7;NDUFB7;;NDUFB7;;NDUFB7;SAMM50;ATP5PD;CYCS;NDUFV1;UCP1
ISCA1;NDUFB11;NDUFB11;;NDUFB11;;NDUFB11;ATP5F1B;APOOL;NDUFS1;COX8A;UQCR11
ECI1;NDUFB6;NDUFB6;;NDUFB6;;NDUFA12;ATP5F1C;MTX3;COX20;SURF1;COX6A1
MGST3;COX4I2;COX4I2;;COX4I2;;NDUFB6;ATP5MG;ATP5PB;COX7C;COX7A2L;ATP5J2
MRPL15;NDUFB5;NDUFB5;;NDUFB5;;NDUFA13;ATP5MF;TOMM70;NDUFB9;NDUFAF7;PDPR
MRPL11;NDUFB10;NDUFB10;;NDUFB10;;NDUFA10;;IMMT;COX7B;NDUFAF5;RXRA
CYB5R3;NDUFB4;NDUFB4;;NDUFB4;;NDUFB5;;TIMM10B;NDUFB8;NDUFAF6;BSG
PRDX3;NDUFB3;NDUFB3;;NDUFB3;;NDUFB10;;TMEM11;NDUFB7;NDUFAF3;UCP3
GRPEL1;UQCR10;UQCR10;;UQCR10;;NDUFB4;;DNAJC11;NDUFB11;NDUFAF4;SLC16A8
PDK4;AFG1L;AFG1L;;AFG1L;;NDUFA11;;ATP5PO;NDUFB6;NDUFAF1;SLC16A3
TIMM17A;NDUFB2;NDUFB2;;NDUFB2;;NDUFB3;;TIMM9;NDUFB5;NDUFAF2;NDUFV3
ATP6V1C1;NDUFB1;NDUFB1;;NDUFB1;;NDUFB2;;NDUFA13;NDUFB10;COX16;NDUFV2
DECR1;UQCR11;UQCR11;;UQCR11;;NDUFB1;;ATP5MC3;NDUFB4;UQCRB;NDUFV1
PDHA1;COX6A2;COX6A2;;COX6A2;;NDUFV3;;MICOS13;NDUFB3;COX19;COX8A
ATP5F1D;COX6A1;COX6A1;;COX6A1;;NDUFV2;;ATP5MC1;UQCR10;COX18;SURF1
COX6C;UQCRFS1;UQCRFS1;;UQCRFS1;;NDUFV1;;ATP5MC2;ETFDH;TACO1;IDH2
ATP5F1E;COX4I1;COX4I1;;COX4I1;;;;MICOS10;NDUFB2;ATP5C1;COX7A2L
CS;NDUFV3;NDUFV3;;NDUFV3;;;;APOO;NDUFB1;UQCRH;NDUFAF7
LRPPRC;NDUFV2;NDUFV2;;NDUFV2;;;;CHCHD6;UQCR11;COX14;NDUFAF5
GLUD1;NDUFV1;NDUFV1;;NDUFV1;;;;ATP5F1A;COX6A1;CYC1;NDUFAF6
ALDH6A1;COA6;COX8A;;COA6;;;;CHCHD3;UQCRFS1;COX11;NDUFAF3
GPI;COX8A;NDUFA9;;COX8A;;;;SAMM50;COX4I1;ACAD9;NDUFAF4
ATP5ME;NDUFA9;NDUFA8;;NDUFA9;;;;ATP5F1B;NDUFV3;NDUFC2;NDUFAF1
COX7C;NDUFA8;NDUFA7;;NDUFA8;;;;ATP5F1C;NDUFV2;NDUFC1;NDUFAF2
COX7B;NDUFA7;NDUFA6;;NDUFA7;;;;OPA1;NDUFV1;ATP5F1;LDHAL6A
MRPS15;NDUFA6;NDUFA5;;NDUFA6;;;;MTX1;COX8A;COX6C;LDHAL6B
MAOB;NDUFA5;NDUFA4;;NDUFA5;;;;;NDUFA9;LRPPRC;OGDH
MRPS12;NDUFA4;NDUFA3;;NDUFA4;;;;;NDUFA8;ECSIT;COX16
ACAT1;NDUFA3;NDUFA2;;NDUFA3;;;;;TIMMDC1;NDUFS8;UQCRB
TIMM13;NDUFA2;NDUFA1;;NDUFA2;;;;;SURF1;NDUFS7;COX19
MRPS11;NDUFA1;COX7A2L;;NDUFA1;;;;;NDUFA7;NDUFS6;COX18
MRPL35;COX7A2L;COX6B1;;COX7A2L;;;;;NUBPL;NDUFS5;TACO1
TIMM10;COX6B1;UQCRHL;;COX6B1;;;;;NDUFA6;NDUFS4;ATP5C1
ECHS1;UQCRHL;NDUFAB1;;UQCRHL;;;;;NDUFA5;NDUFS3;UQCRH
MRPL34;NDUFAB1;SDHAF2;;NDUFAB1;;;;;NDUFA4;NDUFS2;MPC1
LDHB;SDHAF2;NDUFAF1;;SDHAF2;;;;;NDUFA3;CYCS;MPC2
NNT;NDUFAF1;COX5A;;NDUFAF1;;;;;NDUFA2;NDUFS1;PDK4
LDHA;COX5A;NDUFA12;;COX5A;;;;;NDUFA1;ATP5S;COX14
ATP5MG;NDUFA12;NDUFA13;;NDUFA12;;;;;COX7A2L;COX7C;PDK1
ATP5MF;NDUFA13;UQCRB;;NDUFA13;;;;;COX6B1;NDUFB9;CYC1
ATP6V1G1;UQCRB;NDUFA10;;UQCRB;;;;;NDUFAF7;COX7B;PDK3
NQO2;NDUFA10;NDUFA11;;NDUFA10;;;;;NDUFAB1;NDUFB8;COX11
ATP6V0E1;NDUFA11;COX5B;;NDUFA11;;;;;NDUFAF5;NDUFB7;PDK2
ATP5PF;COX5B;UQCRH;;COX5B;;;;;NDUFAF6;NDUFB6;ACAD9
MTX2;UQCRH;COX15;;UQCRH;;;;;NDUFAF3;NDUFB5;PDHA1
MDH2;COX15;CYC1;;COX15;;;;;NDUFAF4;NDUFB4;NDUFC2
ATP5PD;CYC1;COX10;;CYC1;;;;;NDUFAF1;NDUFB3;NDUFC1
ATP5PB;COX10;;;COX10;;;;;NDUFAF2;ATP5L;ATP5F1
MRPS22;;;;;;;;;COX5A;ETFDH;COX6C
COX6B1;;;;;;;;;NDUFA12;NDUFB2;CS
PDP1;;;;;;;;;NDUFA13;ATP5J;LRPPRC
HADHB;;;;;;;;;COX16;NDUFB1;ECSIT
BDH2;;;;;;;;;UQCRB;ATP5I;NDUFS8
HADHA;;;;;;;;;NDUFA10;ATP5O;NDUFS7
NDUFAB1;;;;;;;;;COX19;ATP5D;NDUFS6
ATP5PO;;;;;;;;;COX18;ATP5B;NDUFS5
DLD;;;;;;;;;NDUFA11;ATP5H;NDUFS4
OAT;;;;;;;;;ETFA;ATP5E;HAGH
TIMM9;;;;;;;;;TACO1;UQCRFS1;NDUFS3
FH;;;;;;;;;ETFB;COX4I1;NDUFS2
COX5A;;;;;;;;;COX5B;NDUFA9;CYCS
MRPS30;;;;;;;;;UQCRH;NDUFA8;ACO2
HCCS;;;;;;;;;COX14;TIMMDC1;NDUFS1
COX5B;;;;;;;;;CYC1;NDUFA7;ATP5S
ATP5F1A;;;;;;;;;COX11;NUBPL;COX7C
ATP5F1B;;;;;;;;;;NDUFA6;NDUFB9
ATP5F1C;;;;;;;;;;NDUFA5;COX7B
ACADM;;;;;;;;;;NDUFA4;NDUFB8
AIFM1;;;;;;;;;;NDUFA3;NDUFB7
DLAT;;;;;;;;;;NDUFA2;NDUFB6
MDH1;;;;;;;;;;NDUFA1;NDUFB5
PHYH;;;;;;;;;;COX6B1;GLO1
SDHD;;;;;;;;;;NDUFAB1;NDUFB4
SDHB;;;;;;;;;;SLC25A14;NDUFB3
ATP1B1;;;;;;;;;;COX5A;ATP5L
SDHC;;;;;;;;;;NDUFA12;ETFDH
SDHA;;;;;;;;;;NDUFA13;NDUFB2
UQCRQ;;;;;;;;;;NDUFA10;ATP5J
ISCU;;;;;;;;;;NDUFA11;NDUFB1
DLST;;;;;;;;;;ETFA;ATP5I
TOMM22;;;;;;;;;;ETFB;ATP5O
COX6A1;;;;;;;;;;ATP5G3;ATP5D
TIMM50;;;;;;;;;;COX5B;LDHC
MFN2;;;;;;;;;;ATP5G2;LDHB
PMPCA;;;;;;;;;;ATP5G1;ATP5B
NDUFV2;;;;;;;;;;SLC25A27;NNT
NDUFV1;;;;;;;;;;;LDHA
IDH1;;;;;;;;;;;ATP5H
ATP6V0C;;;;;;;;;;;ATP5E
ATP6V0B;;;;;;;;;;;UQCRFS1
GOT2;;;;;;;;;;;COX4I1
IDH2;;;;;;;;;;;D2HGDH
OXA1L;;;;;;;;;;;NDUFA9
ATP6V1D;;;;;;;;;;;NDUFA8
COX17;;;;;;;;;;;TIMMDC1
UQCRB;;;;;;;;;;;NDUFA7
HTRA2;;;;;;;;;;;MDH2
ATP5MC3;;;;;;;;;;;IDH3G
COX7A2;;;;;;;;;;;NUBPL
ATP5MC1;;;;;;;;;;;NDUFA6
UQCRH;;;;;;;;;;;NDUFA5
ATP5MC2;;;;;;;;;;;NDUFA4
MPC1;;;;;;;;;;;NDUFA3
COX15;;;;;;;;;;;NDUFA2
ATP6V1F;;;;;;;;;;;NDUFA1
CYC1;;;;;;;;;;;COX6B1
ACAA2;;;;;;;;;;;PDP2
ACAA1;;;;;;;;;;;PDP1
ATP6V1H;;;;;;;;;;;SUCLA2
COX11;;;;;;;;;;;NDUFAB1
COX10;;;;;;;;;;;DLD
BCKDHA;;;;;;;;;;;L2HGDH
HSPA9;;;;;;;;;;;PPARD
GPX4;;;;;;;;;;;SLC25A14
NDUFC2;;;;;;;;;;;FH
NDUFC1;;;;;;;;;;;COX5A
CYB5A;;;;;;;;;;;NDUFA12
NDUFS8;;;;;;;;;;;NDUFA13
NDUFS7;;;;;;;;;;;NDUFA10
NDUFS6;;;;;;;;;;;NDUFA11
NDUFS4;;;;;;;;;;;ETFA
NDUFS3;;;;;;;;;;;ETFB
NDUFS2;;;;;;;;;;;ATP5G3
CYCS;;;;;;;;;;;COX5B
ACO2;;;;;;;;;;;ATP5G2
NDUFS1;;;;;;;;;;;ATP5G1
SLC25A4;;;;;;;;;;;SLC25A27
SLC25A3;;;;;;;;;;;DLAT
NDUFB8;;;;;;;;;;;IDH3A
NDUFB7;;;;;;;;;;;IDH3B
ABCB7;;;;;;;;;;;
NDUFB6;;;;;;;;;;;
NDUFB5;;;;;;;;;;;
NDUFB4;;;;;;;;;;;
NDUFB3;;;;;;;;;;;
ETFDH;;;;;;;;;;;
NDUFB2;;;;;;;;;;;
NDUFB1;;;;;;;;;;;
RHOT1;;;;;;;;;;;
RHOT2;;;;;;;;;;;
CASP7;;;;;;;;;;;
UQCRFS1;;;;;;;;;;;
COX4I1;;;;;;;;;;;
NDUFA9;;;;;;;;;;;
TIMM8B;;;;;;;;;;;
NDUFA8;;;;;;;;;;;
CPT1A;;;;;;;;;;;
NDUFA7;;;;;;;;;;;
IDH3G;;;;;;;;;;;
NDUFA6;;;;;;;;;;;
NDUFA5;;;;;;;;;;;
NDUFA4;;;;;;;;;;;
NDUFA3;;;;;;;;;;;
IMMT;;;;;;;;;;;
NDUFA2;;;;;;;;;;;
NDUFA1;;;;;;;;;;;
SUCLA2;;;;;;;;;;;
VDAC3;;;;;;;;;;;
SLC25A11;;;;;;;;;;;
VDAC2;;;;;;;;;;;
FXN;;;;;;;;;;;
VDAC1;;;;;;;;;;;
SLC25A6;;;;;;;;;;;
SLC25A12;;;;;;;;;;;
SLC25A5;;;;;;;;;;;
ACADVL;;;;;;;;;;;
ALAS1;;;;;;;;;;;
TCIRG1;;;;;;;;;;;
ETFA;;;;;;;;;;;
ETFB;;;;;;;;;;;
HSD17B10;;;;;;;;;;;
MTRF1;;;;;;;;;;;
OPA1;;;;;;;;;;;
SLC25A20;;;;;;;;;;;
POLR2F;;;;;;;;;;;
IDH3A;;;;;;;;;;;
IDH3B;;;;;;;;;;;
