Gene;Module
SLC2A3;Glucose uptake, glycolysis
LDHB;Glucose uptake, glycolysis
TPI1;Glucose uptake, glycolysis
GAPDH;Glucose uptake, glycolysis
MDH2;Cytric acid cycle
IDH2;Cytric acid cycle
NDUFV2;Complex I
NDUFS8;Complex I
NDUFS5;Complex I
NDUFB9;Complex I
NDUFB8.1;Complex I
NDUFB8;Complex I
NDUFB7;Complex I
NDUFB4;Complex I
NDUFB3;Complex I
NDUFB11;Complex I
NDUFB10;Complex I
NDUFB1;Complex I
NDUFAB1;Complex I
NDUFA7;Complex I
NDUFA3;Complex I
NDUFA13;Complex I
NDUFA12;Complex I
NDUFA11;Complex I
NDUFA1;Complex I
UQCR11;Complex III
UQCR10;Complex III
UQCRH;Complex III
UQCRB;Complex III
NDUFA4;Complex IV
COX7C;Complex IV
COX7B;Complex IV
COX7A2;Complex IV
COX6C;Complex IV
COX6A1;Complex IV
COX5B;Complex IV
COX5A;Complex IV
COX4I1;Complex IV
COX14;Complex IV
ATP5PO;ATP Synthase
ATP5PF;ATP Synthase
ATP5PD;ATP Synthase
ATP5MG;ATP Synthase
ATP5MF;ATP Synthase
ATP5ME;ATP Synthase
ATP5MC2;ATP Synthase
ATP5F1E;ATP Synthase
ATP5F1D;ATP Synthase
ATP5F1A;ATP Synthase
GPX4;Antioxidation
PRDX5;Antioxidation
GLRX;Antioxidation
SOD1;Antioxidation
